"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:GC-Time","thrpt",3,5,115.400000,53.467130,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:JVMCPU","thrpt",3,5,48190.000000,16332.473427,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:MemAlloc","thrpt",3,5,16041678.008000,14097178.513721,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringRead614Kb:ThreadCPU","thrpt",3,5,15256.600000,11226.367500,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb","thrpt",3,5,802.318122,265.278040,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb:GC-Collections","thrpt",3,5,6.600000,7.984865,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb:GC-Time","thrpt",3,5,33.000000,54.524357,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb:JVMCPU","thrpt",3,5,17638.000000,1770.752011,"JVMCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb:MemAlloc","thrpt",3,5,3568956.108000,668059.140058,"Memory Allocated kB"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite118Kb:ThreadCPU","thrpt",3,5,5695.400000,859.222681,"ThreadCPU ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite1Kb","thrpt",3,5,864.419347,452.720133,"ops/ms"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite1Kb:GC-Collections","thrpt",3,5,11.000000,13.614082,"GC Collections"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite1Kb:GC-Time","thrpt",3,5,35.400000,31.589365,"GC Time"
"com.heliosapm.benchmarks.json.JSONUnmarshalling.HeapStringWrite1Kb:JVMCPU","thrpt",3,5,15178.000000,263.142988,"JVMCPU ms"
